VSLR, Tbright
-94.997836,1.302610
-95.843733,1.750561
-96.689630,0.915138
-97.535527,0.557288
-98.381423,0.716511
-99.227320,0.800476
-100.073217,0.650221
-100.919113,0.801754
-101.765010,0.619024
-102.610907,1.003539
-103.456803,0.586364
-104.302700,0.000000
-105.148597,0.352510
-105.994494,1.099719
-106.840390,0.960315
-107.686287,0.495272
-108.532184,1.166679
-109.378080,1.225659
-110.223977,1.412210
-111.069874,1.007996
-111.915771,0.946134
-112.761667,1.173339
-113.607564,1.159091
-114.453461,1.215621
-115.299357,1.182671
-116.145254,1.583857
-116.991151,1.584745
-117.837047,0.991487
-118.682944,1.089331
-119.528841,1.857444
-120.374738,0.927668
-121.220634,0.612211
-122.066531,0.734942
-122.912428,1.567242
-123.758324,1.658222
-124.604221,1.086574
-125.450118,0.932272
-126.296015,0.962266
-127.141911,1.334207
-127.987808,1.208013
-128.833705,0.692334
-129.679601,0.736311
-130.525498,0.117791
-131.371395,0.709908
-132.217291,0.376490
-133.063188,0.409139
-133.909085,1.005534
-134.754982,0.765653
-135.600878,0.714398
-136.446775,0.223071
-137.292672,0.275816
-138.138568,0.527958
-138.984465,1.265126
-139.830362,1.377690
-140.676258,1.434867
-141.522155,1.414246
-142.368052,1.140872
-143.213949,1.234885
-144.059845,0.982915
-144.905742,0.989716
-145.751639,1.079974
-146.597535,0.572310
-147.443432,0.861287
-148.289329,1.307331
-149.135226,1.654956
-149.981122,1.467269
-150.827019,0.895979
-151.672916,0.616642
-152.518812,1.063645
-153.364709,1.347529
-154.210606,1.118088
-155.056502,1.064158
-155.902399,0.757705
-156.748296,1.286766
-157.594193,1.064914
-158.440089,1.170908
-159.285986,0.889228
-160.131883,0.959239
-160.977779,0.895434
-161.823676,0.589075
-162.669573,1.659898
-163.515470,1.715948
-164.361366,1.611550
-165.207263,1.399713
-166.053160,1.457973
-166.899056,1.342898
-167.744953,1.271128
-168.590850,1.828415
-169.436746,1.490696
-170.282643,1.418124
-171.128540,0.923760
-171.974437,1.238118
-172.820333,1.744199
-173.666230,2.079103
-174.512127,1.630422
-175.358023,1.483386
-176.203920,1.291356
-177.049817,0.821890
-177.895713,0.936758
-178.741610,1.767552
-179.587507,1.740317
-180.433404,1.490320
-181.279300,1.456507
-182.125197,1.394645
-182.971094,1.171078
-183.816990,1.334655
-184.662887,1.450442
-185.508784,2.029449
-186.354681,2.334557
-187.200577,2.774987
-188.046474,3.318065
-188.892371,2.716426
-189.738267,1.638943
-190.584164,0.911225
-191.430061,1.181905
-192.275957,1.668985
-193.121854,0.924849
-193.967751,0.924923
-194.813648,1.329631
-195.659544,0.910923
-196.505441,0.851947
-197.351338,1.066609
-198.197234,0.765825
-199.043131,0.755911
-199.889028,1.022387
-200.734925,1.651786
-201.580821,1.655434
-202.426718,1.234880
-203.272615,1.151789
-204.118511,1.246769
-204.964408,0.643062
